≈City,Address,Restaurant Name,Link,Category
חולון,16 שאלתיאל,מקדונלד`ס,https://www.10bis.co.il/Restaurants/Menu/Delivery/830?couponValue=0,
פתח תקוה ,182 רוטשילד,מקדונלדס פ`ת קניון אבנת- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/831?couponValue=0,
רמת השרון,81 סוקולוב,מקדונלד`ס,https://www.10bis.co.il/Restaurants/Menu/Delivery/832?couponValue=0,
אשדוד,0 שדרות הרצל ,מקדונלד'ס,https://www.10bis.co.il/Restaurants/Menu/Delivery/833?couponValue=0,
קרית אונו ,78 הגליל ,מקדונלדס גבעת סביון - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/834?couponValue=0,
תל אביב יפו,50 דיזינגוף,מקדונלד`ס,https://www.10bis.co.il/Restaurants/Menu/Delivery/835?couponValue=0,"המבורגר, אמריקאי, בשרים"
רעננה,96 אחוזה,מקדונלד`ס,https://www.10bis.co.il/Restaurants/Menu/Delivery/836?couponValue=0,
מרכז ירושלים,4 שמאי,מקדונלד`ס,https://www.10bis.co.il/Restaurants/Menu/Delivery/837?couponValue=0,המבורגר
אלונים,1 צומת אלונים,מקדונלד'ס,https://www.10bis.co.il/Restaurants/Menu/Delivery/838?couponValue=0,
ראשון לציון,21 סחרוב,מקדונלד`ס,https://www.10bis.co.il/Restaurants/Menu/Delivery/839?couponValue=0,
רמת גן,2 הרוא`ה,מקדונלד`ס,https://www.10bis.co.il/Restaurants/Menu/Delivery/840?couponValue=0,"אמריקאי, בשרים, המבורגר"
הרצליה פיתוח,27 משכית,אבו חסן,https://www.10bis.co.il/Restaurants/Menu/Delivery/841?couponValue=0,חומוסיה
רעננה,3 הסדנא,חסהל`ה,https://www.10bis.co.il/Restaurants/Menu/Delivery/842?couponValue=0,סלטים/סנדוויצ`ים
ראש העין,5 עמל,time for food- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/843?couponValue=0,
כפר סבא,73 בן יהודה,פופורי- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/844?couponValue=0,
ירושלים,1 אגודת ספורט ביתר,קפה הלל,https://www.10bis.co.il/Restaurants/Menu/Delivery/845?couponValue=0,בית קפה
כפר סבא,14 כצנלסון קניון ערים,המטבח של אבא טעים לי. לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/846?couponValue=0,"אוכל ביתי, סלטים/סנדוויצ`ים, מזרחי"
נוה ימין,7 הגפן,איטינג,https://www.10bis.co.il/Restaurants/Menu/Delivery/847?couponValue=0,
הרצליה פיתוח,35 בנין מרכזים,וויט הול,https://www.10bis.co.il/Restaurants/Menu/Delivery/848?couponValue=0,"בשרים, ברביקיו, המבורגר"
תל אביב,71 רוטשילד,White Hall-tel aviv - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/849?couponValue=0,
נוה ימין,103 מושב נוה ימין  משק,מקום בטבע. לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/850?couponValue=0,
הרצליה פיתוח,32 משכית,אוקלהומה.- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/851?couponValue=0,
הרצליה פיתוח,6 גלגלי  הפלדה,פת קואה,https://www.10bis.co.il/Restaurants/Menu/Delivery/852?couponValue=0,"אסייתי, סיני"
רמת גן,1 זבוטינסקי,ברקליס. לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/853?couponValue=0,
הרצליה פיתוח,35 חבצלת השרון,פוד בר- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/854?couponValue=0,
תל אביב,2 הרכבת,סביח דה לוקס - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/855?couponValue=0,
נתניה,5א גיבורי ישראל,בורגר ראנץ`,https://www.10bis.co.il/Restaurants/Menu/Delivery/856?couponValue=0,"המבורגר, בשרים, אמריקאי"
כפר סבא,12 דרך השרון,סטארט קפ- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/857?couponValue=0,
0,0 0,קלימנגרו - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/858?couponValue=0,
רעננה,88 אחוזה,טומטינו - פיצה בריבוע- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/859?couponValue=0,
רעננה,52 החרושת,יונס רעננה- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/860?couponValue=0,
נתניה,1 בית שהם - המחשב,אליס גריל האוס. לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/861?couponValue=0,גריל
תל אביב,0 שליחויות יבוצעו על ידי `טוק טוק ` שליחויות ,ין ינג - לא לגעת,https://www.10bis.co.il/Restaurants/Menu/Delivery/862?couponValue=0,
רעננה,0 קניון רננים,אפרופו סיני תאילנדי- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/863?couponValue=0,
הרצליה פיתוח,5 המדע ,נאפיס,https://www.10bis.co.il/Restaurants/Menu/Delivery/864?couponValue=0,"סלטים/סנדוויצ`ים, פיצריות, איטלקי"
תל אביב,32 הברזל,מנדי`ס - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/865?couponValue=0,
כפר סבא,0 אזור תעשיה,כמון- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/866?couponValue=0,
נתניה,58 קניון השרון הרצל,פיקנסין קניון השרון.- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/867?couponValue=0,
כפר סבא,0 אזור התעשיה,כמון- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/868?couponValue=0,
נתניה,7 גיבורי ישראל,מי ומי.- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/869?couponValue=0,
נתניה,7 גיבורי ישראל,דליבר.- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/870?couponValue=0,
נתניה,7 גיבורי ישראל,ברמונדי.- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/871?couponValue=0,
הרצליה פיתוח,9 משכית,Comida- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/872?couponValue=0,
כפר סבא,3 הגביש,מאמאל`ה כפר סבא. לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/873?couponValue=0,
נתניה,5 גיבורי ישראל,זד - לשעבר שוטרס.- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/874?couponValue=0,
יפו,6 שד` ירושלים,גואטה. לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/875?couponValue=0,
נתניה,4א הצורן,קופי שופ פולג,https://www.10bis.co.il/Restaurants/Menu/Delivery/876?couponValue=0,"אוכל ביתי, סלטים/סנדוויצ`ים"
כפר סבא,12 החרושת,צצה- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/877?couponValue=0,
הרצליה פיתוח,4 אבא אבן,קולומבוס  הרצליה - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/878?couponValue=0,אמריקאית
הרצליה פיתוח,1 ספיר,דניאל- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/879?couponValue=0,
הרצליה פיתוח,22 משכית,הצלע השמינית- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/880?couponValue=0,
תל אביב יפו,24 ראול ולנברג,יבולים,https://www.10bis.co.il/Restaurants/Menu/Delivery/881?couponValue=11,"אוכל טבעוני, סלטים/סנדוויצ`ים, אוכל ביתי"
תל אביב,90 יגאל אלון,פפה ליאו - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/882?couponValue=0,
כפר סבא,23 ,שניצל יעלה - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/883?couponValue=0,
כפר סבא,23 התע`ש,שניצל יעלה.- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/884?couponValue=0,
עתידים תל אביב,0 קרית עתידים,נאש - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/885?couponValue=0,
הרצליה פיתוח,22 משכית,מטעמי השף - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/886?couponValue=0,מזרחי
משלוחים רמת החייל תל אביב,0 רמת החייל,לה קרוקט - מעדני הבית- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/887?couponValue=0,סלטים/סנדוויצ`ים
???,??? ???,מורגל,https://www.10bis.co.il/Restaurants/Menu/Delivery/888?couponValue=0,
aaa,13 321,Yuval Klein,https://www.10bis.co.il/Restaurants/Menu/Delivery/889?couponValue=0,
רמת גן,56 בצלאל,מוזילה.- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/890?couponValue=0,
רמת גן,4 הבונים,פרימוס.- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/891?couponValue=0,
נתניה,9 גיבורי ישראל,בית החומוס מזנון מאיר לשעבר.- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/892?couponValue=0,
רמת החייל תל אביב,2 הברזל,אייס פיצה בר - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/893?couponValue=0,
הר חוצבים ירושלים,11 קרית המדע,מונטה קרלו - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/894?couponValue=0,
תל אביב,8 אהרון בקר,בנגקוק - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/895?couponValue=0,
הר חוצבים ירושלים,7 הרטום,בריסטה  ירושלים. לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/896?couponValue=0,סלטים/סנדוויצ`ים
נתניה,7 גיבורי ישראל,מי ומי..- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/897?couponValue=0,
נתניה,14 גיבורי ישראל,שניצל אילה,https://www.10bis.co.il/Restaurants/Menu/Delivery/898?couponValue=0,"בשרים, ברביקיו"
נתניה,7 הבונים,קוסקוס בר..- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/899?couponValue=0,
תל אביב,56 שינקין,תאי פוד - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/900?couponValue=0,
נתניה,102 גד מנלה,הכבש ה 15..- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/901?couponValue=0,
נתניה,102 גד מנלה,פיטנגו- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/902?couponValue=0,"ים תיכוני, בשרים, ברביקיו"
נתניה,19 יד חרוצים,לחם ארז נתניה. - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/903?couponValue=0,
נתניה,1א הצורן,שיבולים,https://www.10bis.co.il/Restaurants/Menu/Delivery/904?couponValue=0,ים תיכוני
נתניה,1 בית שהם - המחשב,אליס גריל האוס.לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/905?couponValue=0,"ברביקיו, בשרים, סלטים/סנדוויצ`ים"
הרצליה,22 משכית,שניצל פקטורי. - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/906?couponValue=0,"בשרים, ברביקיו"
. הרצליה פיתוח,32 משכית,צ`יינה אקספרס.- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/907?couponValue=0,"אסייתי, סיני, תאילנדי"
רמת השרון,41 סוקולוב,גריל עוף,https://www.10bis.co.il/Restaurants/Menu/Delivery/908?couponValue=0,"אוכל ביתי, בשרים"
נתניה,58 קניון השרון הרצל,פיקנסין קניון השרון..- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/909?couponValue=0,
תל אביב,120 אלנבי,ננדוס - אלנבי תל אביב - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/910?couponValue=0,
תל אביב,21 יבנה,הפינה - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/911?couponValue=0,
הרצליה,17 שדרות הגלים,סוויט סבנטין- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/912?couponValue=0,
נתניה,4 כיכר העצמאות,דומינוס פיצה,https://www.10bis.co.il/Restaurants/Menu/Delivery/913?couponValue=0,פיצריות
בני ברק,30 ברוך הירש,מאמא פסטה,https://www.10bis.co.il/Restaurants/Menu/Delivery/914?couponValue=7,"איטלקי, סלטים/סנדוויצ`ים"
תל אביב,58 אחד העם,סנדוויץ` פקטורי - ערוץ 10 - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/915?couponValue=0,
תל אביב,93 חשמונאים,הג`חנון של אמא - ערוץ 10 - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/916?couponValue=0,
תל אביב,26 יוסף קארו,zaza - ערוץ 10 - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/917?couponValue=0,
רמת גן,"7 מרום סנטר, לנדאו",צ`אי ווק - ערוץ 10.- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/918?couponValue=0,
תל אביב,9 מולדת,לאנץ בוקס - ערוץ 10 - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/919?couponValue=0,
בני ברק,12 זבוטינסקי,פיצהלה,https://www.10bis.co.il/Restaurants/Menu/Delivery/920?couponValue=0,"פיצריות, איטלקי, סלטים/סנדוויצ`ים"
תל אביב,70 קינג ג`ורג`,דים סאם - ערוץ 10 - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/921?couponValue=0,
תל אביב,4 לסקוב,דומינו המאספים-ערוץ 10 - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/922?couponValue=0,
תל אביב,1 בן אביגדור,שניצל אילה תל אביב - ערוץ 10 - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/923?couponValue=0,
תל אביב,13 יד חרוצים,פקין ערוץ 10 - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/924?couponValue=0,
aaa,13 321,Nadir - Beit c.a.l,https://www.10bis.co.il/Restaurants/Menu/Delivery/925?couponValue=0,
תל אביב,2 הברזל,טנדורי-רמת החייל - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/926?couponValue=0,
הרצליה פיתוח,32 משכית,טנדורי,https://www.10bis.co.il/Restaurants/Menu/Delivery/927?couponValue=0,"הודי, אוכל טבעוני, ללא גלוטן"
הרצליה פיתוח,32 משכית,קוקונאט- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/928?couponValue=0,
תל אביב יפו,0 קרית עתידים,לה מנציה,https://www.10bis.co.il/Restaurants/Menu/Delivery/929?couponValue=0,חנות נוחות
רמת גן,56 בצלאל,סקוזיס.- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/930?couponValue=0,
נתניה,102 גד מנלה,פיטנגו...- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/931?couponValue=0,
רעננה,1 בר אילן,טרטסטה רעננה- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/932?couponValue=0,
תל אביב,48 נחלת בנימין,פנג שואי - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/933?couponValue=0,
פתח תקווה,3 שנקר,מזנון בלס- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/934?couponValue=0,
פתח תקווה,2 הסדנא,פונדק סבבה,https://www.10bis.co.il/Restaurants/Menu/Delivery/935?couponValue=0,"אוכל ביתי, בשרים"
פתח תקווה,21 השחם,פפריקה,https://www.10bis.co.il/Restaurants/Menu/Delivery/936?couponValue=0,"סלטים/סנדוויצ`ים, פיצריות, בשרים"
תל אביב יפו,132 עזריאלי,כרמליס ביגל עזריאלי,https://www.10bis.co.il/Restaurants/Menu/Delivery/937?couponValue=0,"סלטים/סנדוויצ`ים, בית קפה, ללא גלוטן"
הרצליה,0 אולפני הרצליה,פרובוקציה- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/938?couponValue=0,
נתניה,7 גיבורי ישראל,סלטינה.- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/939?couponValue=0,
מרכז תל אביב,93 יהודה הלוי,ג`ורג` - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/940?couponValue=0,
תל אביב,49 אבן גבירול,ג`ירף מרכז ת - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/941?couponValue=0,
רעננה,184 אחוזה,schnitzel haus- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/942?couponValue=0,
תל אביב,39 המסגר,מאמה מיה פסטה בר ת`א ערוץ 10 - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/943?couponValue=0,
קריית אריה פתח תקווה,7 אפעל,סולידי עממי. לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/944?couponValue=0,"ים תיכוני, בשרים, ברביקיו"
נתניה,5 גיבורי ישראל,חומוס פלוס.- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/945?couponValue=0,
תל אביב,27 מנחם בגין,מור סנדביץ - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/946?couponValue=0,
הרצליה פיתוח,7 שדרות הגלים,מלכות הפלאפל ערוץ 10- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/947?couponValue=0,
פתח תקווה,16 משה דיין,קפה רומא,https://www.10bis.co.il/Restaurants/Menu/Delivery/948?couponValue=0,"בית קפה, איטלקי, סלטים/סנדוויצ`ים"
הרצליה פיתוח,85 מדינת היהודים,שניצל אקספרס,https://www.10bis.co.il/Restaurants/Menu/Delivery/949?couponValue=0,"בשרים, אוכל ביתי"
קרית אריה פתח תקוה,7 בזל,קומידה- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/950?couponValue=0,
רמת גן,14 זיסמן,לחם ארז - זיסמן - ערוץ 10.- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/951?couponValue=0,
תל אביב,53 יהודה הלוי,שניצל אילה - יהודה הלוי - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/952?couponValue=0,
תל אביב יפו,3 מרכז עזריאלי,יטבתה,https://www.10bis.co.il/Restaurants/Menu/Delivery/953?couponValue=0,סלטים/סנדוויצ`ים
רעננה,184 אחוזה,schnitzel haus.- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/954?couponValue=0,
תל אביב יפו,4 הברזל,קאי סושי,https://www.10bis.co.il/Restaurants/Menu/Delivery/955?couponValue=0,"יפני/סושי, ללא גלוטן"
רמת גן,13 בצלאל,תאי פוד רמת גן - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/956?couponValue=0,
תל אביב יפו,93 יהודה הלוי,חומוס נחמני,https://www.10bis.co.il/Restaurants/Menu/Delivery/957?couponValue=0,חומוסיה
תל אביב יפו,21 מנחם בגין,סלטים,https://www.10bis.co.il/Restaurants/Menu/Delivery/958?couponValue=0,סלטים/סנדוויצ`ים
קריית אריה פתח תקווה,9 שנקר,פונדק הקריה. לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/959?couponValue=0,
תל אביב,2 קרמנצקי,קרמנצקי - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/960?couponValue=0,
נתניה,9 ככר העצמאות,בורגר קינג נתניה.- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/961?couponValue=0,
תל אביב,185 אבן גבירול,סושי מן - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/962?couponValue=0,
ירושלים,2 מרכז שטנר,יהודה ושרלי,https://www.10bis.co.il/Restaurants/Menu/Delivery/963?couponValue=0,בר
ירושלים ,11 בית הדפוס ,מאמה לונה - לא לגעת,https://www.10bis.co.il/Restaurants/Menu/Delivery/964?couponValue=0,
ירושלים,66 כנפי נשרים,פינתי,https://www.10bis.co.il/Restaurants/Menu/Delivery/965?couponValue=0,"חומוסיה, אוכל ביתי"
תל אביב,65 יגאל אלון,הי סטייק - יגאל אלון - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/966?couponValue=0,
נתניה,58 הרצל,בורגר ראנץ`,https://www.10bis.co.il/Restaurants/Menu/Delivery/967?couponValue=0,
הרצליה פיתוח,17 שדרות הגלים,פסטה פן- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/968?couponValue=0,
נתניה,7 גיבורי ישראל,סלטינה..- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/969?couponValue=0,
נתניה,5א גיבורי ישראל,אווזי,https://www.10bis.co.il/Restaurants/Menu/Delivery/970?couponValue=0,
רמת גן,1 זבוטינסקי,יוקואונו. לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/971?couponValue=0,"יפני/סושי, אסייתי"
ירושלים,28 פייר קניג,פאשה - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/972?couponValue=0,
נתניה,8 פינקס,שיפודי בת האיכר.- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/973?couponValue=0,
ראשון לציון,1 טוליפמן,פונדק הבית,https://www.10bis.co.il/Restaurants/Menu/Delivery/974?couponValue=0,
תל אביב,22 אבולעפיה,קונפיטה - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/975?couponValue=0,
הרצליה,14 שנקר,ימה גריל אנד בר - ימבורגר לשעבר- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/976?couponValue=0,
תל אביב,1 יגיע כפיים,מקיאטו - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/977?couponValue=0,
ירושלים,5 חבצלת,אולה לה- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/978?couponValue=0,
מרכז תל אביב,95 חשמונאים,ג`מבו - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/979?couponValue=0,
תל אביב יפו,132 עזריאלי,עגבניה,https://www.10bis.co.il/Restaurants/Menu/Delivery/980?couponValue=0,פיצריות
נתניה,8 פנקס,שיפודי בת האיכר..- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/981?couponValue=0,
מרכז חיפה,2 שדרות פל ים,המפגש של א.א. - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/982?couponValue=0,"בשרים, ים תיכוני, ברביקיו"
מרכז תל אביב,44 מנחם בגין,קרייזי צ`יקן. לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/983?couponValue=0,
מרכז חיפה,2 פל ים,פלאפל ושווארמה מוריס - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/984?couponValue=0,"שווארמה, פאלפל"
נתניה,1 המחשב,בר בריא נתניה.- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/985?couponValue=0,
חיפה,5 המגינים,אחים סאלח,https://www.10bis.co.il/Restaurants/Menu/Delivery/986?couponValue=0,"בשרים, אוכל ביתי, פירות ים"
גבעת שאול ירושלים,3 עם ועולמו,גן הדקלים בזק. לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/987?couponValue=0,
פתח תקוה,34 הרצל,הסלטים של קאסה- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/988?couponValue=0,
ירושלים,80 אגריפס,מסעדת סמי - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/989?couponValue=0,
נתניה,5 גיבורי ישראל,בריסטוט קפה.- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/990?couponValue=0,
תל אביב יפו,5 הילל הזקן,עמנואל,https://www.10bis.co.il/Restaurants/Menu/Delivery/991?couponValue=0,"מזרחי, בשרים, אוכל ביתי"
תל אביב,136 יגאל אלון,schnitzelim - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/992?couponValue=0,
הרצליה פיתוח,32 משכית,ננדוס.הרצליה- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/993?couponValue=0,
תל אביב,26 יוסף קארו,Deli - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/994?couponValue=0,
ירושלים,15 יד חרוצים,הטאגין,https://www.10bis.co.il/Restaurants/Menu/Delivery/995?couponValue=0,בשרים
רמת גן,28 תובל,מרינד.- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/996?couponValue=0,
באר שבע,1 מרכז ביג,נאפיס באר שבע - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/997?couponValue=0,
באר שבע,0 מתחם ביג,סייסטה. לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/998?couponValue=0,
באר שבע,0 0,יטבתה באר שבע,https://www.10bis.co.il/Restaurants/Menu/Delivery/999?couponValue=0,
תל אביב,56 שנקין,אפ קפה - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/1000?couponValue=0,
תל אביב,61 שדרות בן צבי,יונס - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/1001?couponValue=0,
תל אביב,52 יהודה הלוי,קפה גולדה - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/1002?couponValue=0,
ירושלים,7 בית הדפוס,אינגליש קייק  ירושלים,https://www.10bis.co.il/Restaurants/Menu/Delivery/1003?couponValue=0,"קונדטוריה/ גלידריה, בית קפה"
ירושלים,. מוצרים כשרים ללא תעודה,הילי - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/1004?couponValue=0,
ירושלים,36 יפו,בארי בורגר- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/1005?couponValue=0,
ירושלים,0 מרכז ישפרו הדסה עין כרם,מנדיס - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/1006?couponValue=0,"תאילנדי, סיני"
רעננה,2 רמבם,פול טיים- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/1007?couponValue=0,
הרצליה ,22 בן גוריון ,ג`חנון call  לא לגעת,https://www.10bis.co.il/Restaurants/Menu/Delivery/1008?couponValue=0,
תל אביב,8 אהרון בקר,קפה בנגקוק - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/1009?couponValue=0,
חיפה,1 שדרות ההסתדרות - קניון לב המפרץ,ספגטים,https://www.10bis.co.il/Restaurants/Menu/Delivery/1010?couponValue=0,איטלקי
הבורסה רמת גן,7 אבא הלל,חומוס אבו גוש -רמת גן. לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/1011?couponValue=0,
פתח תקוה,13 שנקר,מאכלי רות. לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/1012?couponValue=0,
כפר סבא,20 התע`ש,שיא הסנדוויץ- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/1013?couponValue=0,
תל אביב יפו,9 בית עובד,לא על השום לבדו,https://www.10bis.co.il/Restaurants/Menu/Delivery/1014?couponValue=0,
תל אביב יפו,132 מנחם בגין,דיאנה,https://www.10bis.co.il/Restaurants/Menu/Delivery/1015?couponValue=0,"בשרים, אוכל ביתי"
ירושלים,14 המלך ג'ורג',ארומה אספרסו בר,https://www.10bis.co.il/Restaurants/Menu/Delivery/1016?couponValue=0,"בית קפה, סלטים/סנדוויצ`ים, ללא גלוטן"
חולון,15 המלאכה,לורד סנדוויץ,https://www.10bis.co.il/Restaurants/Menu/Delivery/1017?couponValue=0,"סנדוויצ`ים, סלטים/סנדוויצ`ים"
נתניה,30 גיבורי ישראל,טיים עוף,https://www.10bis.co.il/Restaurants/Menu/Delivery/1018?couponValue=5,"בשרים, סלטים/סנדוויצ`ים, אסייתי"
תל אביב,45 קינג גורג,מיקס בר סלטים - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/1019?couponValue=0,
תל אביב,3 מקוה ישראל,אל גל- תל אביב - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/1020?couponValue=0,
